Name (English),Region of Focus,Language,Entity owner (English),Parent entity (English),X (Twitter) handle,X (Twitter) URL,X (Twitter) Follower #,Facebook page,Facebook URL,Facebook Follower #,Instragram page,Instagram URL,Instagram Follower #,Threads account,Threads URL,Threads Follower #,YouTube account,YouTube URL,YouTube Subscriber #,TikTok account,TikTok URL,TikTok Subscriber #
Xu Zhike (Coco Studio),la Francophonie,French,China Media Group (CMG),Central Publicity Department,CocoStudio4,https://twitter.com/CocoStudio4,982,CocoStudioenChine/,https://www.facebook.com/CocoStudioenChine/,1300000,cocostudioenchine,https://www.instagram.com/cocostudioenchine/,4256,,,,CocoStudioenChine,https://www.youtube.com/channel/UC2bFxuLClcjHadRnrKvxweQ,156000,cocoenchine,https://www.tiktok.com/@cocoenchine,142100.0
Chinese Consulate General in Strasbourg,France,French,Ministry of Foreign Affairs,Ministry of Foreign Affairs,consulat_de,https://twitter.com/consulat_de,2457,,,,,,,,,,,,,,,
Chinese Consulate General in San Francisco,USA,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ConsulateSan,https://twitter.com/ConsulateSan,4221,,,,chineseconsulate,https://www.instagram.com/chineseconsulate/,462,,,,user-cq4mw4or9e,https://www.youtube.com/@user-cq4mw4or9e,16,,,
Chinese Consulate General in Barcelona,Spain,Spanish,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ConsulChinaBcn,https://twitter.com/ConsulChinaBcn,4495,,,,,,,,,,,,,,,
Chinese Consulate General in Rio de Janeiro,Brazil,Portuguese,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ConsulChinaRJ,https://twitter.com/ConsulChinaRJ,2474,,,,,,,,,,,,,,,
CMG Hindi,India,Hindi,China Media Group (CMG),Central Publicity Department,cri_hindi,https://twitter.com/cri_hindi,52,cmghindiservice,https://www.facebook.com/cmghindiservice,"11,000,000",,,,,,,,,,,,
CRI Türkçe,Türkiye,Turkish,China Media Group (CMG),Central Publicity Department,CRI_Turkish,https://twitter.com/CRI_Turkish,85200,criturkfm,https://www.facebook.com/criturkfm,"116,000",criturkish,https://www.instagram.com/criturkish/,56500,criturkish,https://www.threads.net/@criturkish,493.0,criturk,https://www.youtube.com/criturk,44400,,,
CRI Arabic,MENA,Arabic,China Media Group (CMG),Central Publicity Department,criarabic,https://twitter.com/criarabic,22200,criarabic1,https://www.facebook.com/criarabic1,2700000,,,,,,,,,,,,
CRI Breaking News,Canada,English,China Media Group (CMG),Central Publicity Department,CRIbrk,https://twitter.com/CRIbrk,437,,,,,,,,,,,,,,,
CRI Français,la Francophonie,French,China Media Group (CMG),Central Publicity Department,CriFrancais,https://twitter.com/CriFrancais,72900,profile.php?id=100064674103235&spm=C88696.PW9lL1E2rNNB.0.0&ref=ts&fref=ts,https://www.facebook.com/profile.php?id=100064674103235&spm=C88696.PW9lL1E2rNNB.0.0&ref=ts&fref=ts,"2,500,000",cri_francais,https://www.instagram.com/cri_francais/,11000,,,,,,,,,
CRI German,Germany,German,China Media Group (CMG),Central Publicity Department,CRIGerman1,https://twitter.com/CRIGerman1,54,CRIGerman,https://www.facebook.com/CRIGerman,897000,,,,,,,,,,,,
CRI Greek,Greece,Greek,China Media Group (CMG),Central Publicity Department,crigreek,https://twitter.com/crigreek,224,profile.php?id=100068848134907,https://www.facebook.com/profile.php?id=100068848134907,"155,000",,,,,,,,,,,,
CRI Hausa,Nigeria,Hausa,China Media Group (CMG),Central Publicity Department,CRIHausaRadio,https://twitter.com/CRIHausaRadio,1275,CGTNHausa,https://www.facebook.com/CGTNHausa,1400000,,,,,,,,,,,,
CRI Japanese,Japan,Japanese,China Media Group (CMG),Central Publicity Department,CRIjpn,https://twitter.com/CRIjpn,23300,japanese.cri,https://www.facebook.com/japanese.cri,"5,900,000",,,,,,,cri8511,https://www.youtube.com/channel/UCAq3au5J8QghC2nuzaDdHZA,3680,,,
CRI Pashto,Afghanistan,Pashto,China Media Group (CMG),Central Publicity Department,cripashto,https://twitter.com/cripashto,59,pushtu.cri.cn,https://www.facebook.com/pushtu.cri.cn/,"3,200,000",,,,,,,,,,,,
CRI Sinhala,Sri Lanka,Sinhalese,China Media Group (CMG),Central Publicity Department,CRIsinhala,https://twitter.com/CRIsinhala,126,crisrilanka,https://www.facebook.com/crisrilanka,"1,500,000",,,,,,,,,,,,
CRI Urdu,Pakistan,Urdu,China Media Group (CMG),Central Publicity Department,criurdu,https://twitter.com/criurdu,82,CRIurdu,https://www.facebook.com/CRIurdu/,"3,200",,,,,,,urducri6294,https://www.youtube.com/@urducri6294,3870,,,
China State Construction (CSCEC),Canada,English,China State Construction Engineering (CSCEC),State Council,CSCECNEWS,https://twitter.com/CSCECNEWS,128900,CSCECNews,https://www.facebook.com/CSCECNews/,"1,100,000",china_state_construction,https://www.instagram.com/china_state_construction/,34400,,,,CSCECNews,https://www.youtube.com/@CSCECNews,5650,,,
Zhu Danni (Danni Zhu),Canada,English,China Media Group (CMG),Central Publicity Department,Danni_Zhu131,https://twitter.com/Danni_Zhu131,21,,,,iamdanni131,https://www.instagram.com/iamdanni131/,54,iamdanni131,https://www.threads.net/@iamdanni131,15.0,,,,,,
CRI Mongolian,Mongolia,Mongolian,China Media Group (CMG),Central Publicity Department,delkhiintsag,https://twitter.com/delkhiintsag,0,mongolradio,https://www.facebook.com/mongolradio,5700,,,,,,,,,,,,
Wang Di'er (Deer Wang),Canada,English,Xinhua News Agency,State Council,dier0806,https://twitter.com/dier0806,258,Deer-Wang-111316794562651,https://www.facebook.com/Deer-Wang-111316794562651,2600,w.dier,https://www.instagram.com/w.dier/,139,,,,dierwang4537,https://www.youtube.com/channel/UCQNeX7sy9LdWhlY-byDmQwg,309,,,
Ding Heng,Canada,English,China Media Group (CMG),Central Publicity Department,DingHeng6,https://twitter.com/DingHeng6,67,,,,,,,,,,,,,,,
DIOC,China,Chinese,Department of International Organizations and Conferences (DIOC),Ministry of Foreign Affairs,DIOC_MFA_China,https://twitter.com/DIOC_MFA_China,707,,,,,,,,,,,,,,,
Discover Binhai,Canada,English,Department of Culture and Tourism of Tianjin Binhai District,People's Government of Tianjin Binhai New Area,discoverbinhai,https://twitter.com/discoverbinhai,5112,DiscoverBinhai/,https://www.facebook.com/DiscoverBinhai/,1300,,,,,,,,,,discoverbinhai,https://www.tiktok.com/@discoverbinhai,36.0
Discover Guangxi,Canada,English,Department of Culture and Tourism of Guangxi Zhuang Autonomous Region,People's Government of Guangxi Zhuang Autonomous Region,DiscoverGuangxi,https://twitter.com/DiscoverGuangxi,10700,DiscoverGuangxi,https://www.facebook.com/DiscoverGuangxi,115000,discover_guangxi,https://www.instagram.com/discover_guangxi/,2009,,,,,,,discoverguangxichina,https://www.tiktok.com/@discoverguangxichina,9.0
Discover Jilin,Canada,English,Department of Culture and Tourism of Jilin Province,Jilin Provincial People's Government,DiscoverJilin,https://twitter.com/DiscoverJilin,3627,discoverjilin,https://www.facebook.com/discoverjilin/,94000,discoverjilin,https://www.instagram.com/discoverjilin/,42700,,,,DiscoverJilin,https://www.youtube.com/DiscoverJilin,1400,discoverjilin,https://www.tiktok.com/@discoverjilin,5883.0
Discover Nanjing,Canada,English,Department of Culture and Tourism of Nanjing City,Nanjing Municipal People's Government,DiscoverNanjing,https://twitter.com/DiscoverNanjing,133100,DiscoverNanjing,https://www.facebook.com/DiscoverNanjing/,"1,300,000",,,,,,,,,,discovernanjing,https://www.tiktok.com/@discovernanjing,26600.0
Discover Zhejiang,Canada,English,Department of Culture and Tourism of Zhejiang Province,People's Government of Zhejiang Province,discoverzj,https://twitter.com/discoverzj,80000,zhejiangtourismbureau,https://www.facebook.com/zhejiangtourismbureau,3600,discoverzhejiang,https://www.instagram.com/discoverzhejiang/,76200,,,,,,,discoverzhejiang,https://www.tiktok.com/@discoverzhejiang,8.0
Li Dongning,Canada,English,China Media Group (CMG),Central Publicity Department,Dongning,https://twitter.com/Dongning,336,,,,dongningli,https://www.instagram.com/dongningli/,87,,,,,,,,,
FM98 Dosti Channel,Pakistan,Urdu,China Media Group (CMG),Central Publicity Department,DostiFM98,https://twitter.com/DostiFM98,49800,FM98DostiChannel,https://www.facebook.com/FM98DostiChannel,"11,000,000",,,,,,,,,,,,
DotDot News,Hong Kong,English,Hong Kong Ta Kung Wen Wei Media Group (HKTKWW),Hong Kong Liaison Office of the Central Government ,dotdotnews111,https://twitter.com/dotdotnews111,6253,,,,,,,,,,dotdotnewsEnglish,https://www.youtube.com/channel/UCW1IT0yzVG3xEonao-nHaxg,4690,,,
Zhao Qinghua,Switzerland,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Dr_ZhaoQinghua,https://twitter.com/Dr_ZhaoQinghua,1412,,,,,,,,,,,,,,,
Dragon TV,Shanghai,Chinese,Shanghai Media Group (SMG),Shanghai Municipal Committee,dragontv,https://twitter.com/dragontv,189,smgdragontv,https://www.facebook.com/smgdragontv/,"748,000",,,,,,,SMGDragonTV,https://www.youtube.com/@SMGDragonTV/,"930,000",,,
Zhao Yanbo,Botswana,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,DrZhaoYanbo,https://twitter.com/DrZhaoYanbo,2733,,,,,,,,,,,,,,,
Zhao Yongchen,Grenada,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,DrZhaoyongchen,https://twitter.com/DrZhaoyongchen,4458,,,,,,,,,,,,,,,
Du Ping,Canada,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,dupingCHN,https://twitter.com/dupingCHN,2376,,,,,,,,,,,,,,,
Discover Xinjiang,Xinjiang,English,"Beijing Jiandanshiji Culture Media Co., Ltd",unknown,DXinjiang,https://twitter.com/DXinjiang,52600,DiscoverXinjiang,https://www.facebook.com/DiscoverXinjiang,"1,500,000",,,,discoverxinjiang,https://www.threads.net/@discoverxinjiang,73.0,,,,discoverxinjiang,https://www.tiktok.com/@discoverxinjiang,12.0
China News Service Net (eCNS),China,Chinese,China News Service (CNS),United Front Work Department,Echinanews,https://twitter.com/Echinanews,645100,echinanews,https://www.facebook.com/echinanews/,"1,400,000",,,,,,,cnsvideo,https://www.youtube.com/@cnsvideo,"192,000",,,
Chinese Embassy in Malawi (Economic Counsellor),Malawi,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,EconomicMalawi,https://twitter.com/EconomicMalawi,96,,,,,,,,,,,,,,,
Economic Daily,Canada,English,Economic Daily Newspaper Group,State Council,EDNewsChina,https://twitter.com/EDNewsChina,6405,EDNewsChina,https://www.facebook.com/EDNewsChina,"3,500,000",,,,,,,,,,,,
Chinese Embassy in Brazil,Brazil,Portuguese,Ministry of Foreign Affairs,Ministry of Foreign Affairs,EmbaixadaChina,https://twitter.com/EmbaixadaChina,119900,,,,embaixadachina,https://www.instagram.com/embaixadachina/,120000,,,,EmbaixadadaChinanoBrasil,https://www.youtube.com/@EmbaixadadaChinanoBrasil,8510,,,
Chinese Embassy in Ecuador,Ecuador,Spanish,Ministry of Foreign Affairs,Ministry of Foreign Affairs,EmbajadaChinaEc,https://twitter.com/EmbajadaChinaEc,8261,,,,,,,,,,,,,,,
Chinese Embassy in El Salvador,El Salvador,Spanish,Ministry of Foreign Affairs,Ministry of Foreign Affairs,EmbajadaChinaSV,https://twitter.com/EmbajadaChinaSV,25400,,,,,,,,,,,,,,,
Wang Gang,Uruguay,Spanish,Ministry of Foreign Affairs,Ministry of Foreign Affairs,embajadorcn_uy,https://twitter.com/embajadorcn_uy,4711,,,,,,,,,,,,,,,
Chinese Embassy in Tonga,Tonga,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,embassy_chinese,https://twitter.com/embassy_chinese,2533,,,,,,,,,,,,,,,
Chinese Embassy in Serbia,Serbia,Serbian,Ministry of Foreign Affairs,Ministry of Foreign Affairs,EmbChina_RS,https://twitter.com/EmbChina_RS,4597,,,,,,,,,,,,,,,
Chinese Embassy in Cuba,Cuba,Spanish,Ministry of Foreign Affairs,Ministry of Foreign Affairs,EmbChinaCuba,https://twitter.com/EmbChinaCuba,4947,,,,,,,,,,,,,,,
Chinese Embassy in Equatorial Guinea,Equatorial Guinea,Spanish,Ministry of Foreign Affairs,Ministry of Foreign Affairs,EmbChinaGE,https://twitter.com/EmbChinaGE,4656,,,,,,,,,,,,,,,
Chinese Embassy in Mexico,Mexico,Spanish,Ministry of Foreign Affairs,Ministry of Foreign Affairs,EmbChinaMex,https://twitter.com/EmbChinaMex,62000,EmbChinaMex,https://www.facebook.com/EmbChinaMex,135000,,,,,,,,,,,,
Chinese Embassy in Panama,Panama,Spanish,Ministry of Foreign Affairs,Ministry of Foreign Affairs,EmbChinaPa,https://twitter.com/EmbChinaPa,2822,,,,,,,,,,,,,,,
Chinese Embassy in Venezuela,Venezuela,Spanish,Ministry of Foreign Affairs,Ministry of Foreign Affairs,EmbChinaVen,https://twitter.com/EmbChinaVen,1028,,,,,,,,,,,,,,,
Qi Mei,Austria,German,Ministry of Foreign Affairs,Ministry of Foreign Affairs,EmbQiMei,https://twitter.com/EmbQiMei,2122,,,,,,,,,,,,,,,
Zhang Run,Mexico,Spanish,Ministry of Foreign Affairs,Ministry of Foreign Affairs,EmbZhangRun,https://twitter.com/EmbZhangRun,27100,,,,,,,,,,,,,,,
Tian Yuzhen,Brazil,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,eugenioT14,https://twitter.com/eugenioT14,10700,,,,,,,,,,,,,,,
Cheng Weitong,South Africa,English,China Media Group (CMG),Central Publicity Department,evawcheng,https://twitter.com/evawcheng,458,,,,,,,,,,,,,,,
Explore Gansu,South Africa,English,General Office of the People's Government of Gansu Province,Gansu Provincial People's Government,ExploreGansu,https://twitter.com/ExploreGansu,23800,ExploreGansu,https://www.facebook.com/ExploreGansu,717000,,,,,,,,,,,,
Fang Yi,Uganda,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,FangYi85320692,https://twitter.com/FangYi85320692,1069,,,,,,,,,,,,,,,
Wang Xin (Fayhaa Wang),Egypt,Arabic,China Media Group (CMG),Central Publicity Department,fayhaaChina,https://twitter.com/fayhaaChina,6556,fayhaaChina,https://www.facebook.com/fayhaaChina,"1,300,000",fayhaa_china,https://www.instagram.com/fayhaa_china/,15900,,,,fayhaachina8389,https://www.youtube.com/channel/UCm5bAGwFH0aW8vLclAAk8kg,47400,fayhaa_china,https://www.tiktok.com/@fayhaa_china,421800.0
Feel China,South Africa,English,China Daily Press,Central Publicity Department,feelchina2021,https://twitter.com/feelchina2021,74,,,,,,,,,,,,,,,
Xinhua Fly Over China,South Africa,English,Xinhua News Agency,State Council,flyoverchina,https://twitter.com/flyoverchina,672100,FlyOverChina,https://www.facebook.com/FlyOverChina/,"24,000,000",FlyOverChina,https://www.instagram.com/FlyOverChina/,271000,flyoverchina,https://www.threads.net/@flyoverchina,3967.0,,,,,,
CGTN Frontline,South Africa,English,China Media Group (CMG),Central Publicity Department,Frontlinestory,https://twitter.com/Frontlinestory,27500,FrontlineStoriesFromReporters,https://www.facebook.com/FrontlineStoriesFromReporters,277678,,,,,,,,,,,,
Fu Cong,Belgium,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,FuCong17,https://twitter.com/FuCong17,13200,,,,,,,,,,,,,,,
Lu Guijin,Japan,Japanese,Ministry of Foreign Affairs,Ministry of Foreign Affairs,FukLyuGuijun,https://twitter.com/FukLyuGuijun,2841,,,,,,,,,,,,,,,
CGTN Full Frame,South Africa,English,China Media Group (CMG),Central Publicity Department,FullFrameCGTN,https://twitter.com/FullFrameCGTN,1171,,,,,,,,,,,,,,,
Fuzhou City,Fujian,Chinese,Fuzhou Culture and Tourism Bureau,Fuzhou Municipal People's Government,FuzhouCity,https://twitter.com/FuzhouCity,69200,,,,,,,,,,,,,,,
Gabriel Liu,Brazil,Portuguese,Ministry of Foreign Affairs,Ministry of Foreign Affairs,gabriekestabem,https://twitter.com/gabriekestabem,1742,,,,,,,,,,,,,,,
Yin Yue (Gabriel Y. Yin),China,Chinese,China Media Group (CMG),Central Publicity Department,gabrielyin,https://twitter.com/gabrielyin,20,Gabriel-Yin-2084018695188916,https://www.facebook.com/Gabriel-Yin-2084018695188916,26,gabrielyyin,https://instagram.com/gabrielyyin,1883,,,,gabrielyin9245,https://www.youtube.com/channel/UC_fM2ktnNVXDPrXuw2OW9vA/about,15,,,
Du Xiaohui,Germany,German,Ministry of Foreign Affairs,Ministry of Foreign Affairs,GeneralkonsulDu,https://twitter.com/GeneralkonsulDu,1601,,,,,,,,,,,,,,,
Guo Meiping (Gladys Guo),South Africa,English,China Media Group (CMG),Central Publicity Department,GladysGuo,https://twitter.com/GladysGuo,11,,,,,,,,,,,,,,,
GT Business Source,South Africa,English,People's Daily Press,Central Committee of the Chinese Communist Party,GlobalTimesBiz,https://twitter.com/GlobalTimesBiz,12800,,,,,,,,,,,,,,,
GT Life,South Africa,English,People's Daily Press,Central Committee of the Chinese Communist Party,GlobalTimesLife,https://twitter.com/GlobalTimesLife,1992,,,,,,,,,,,,,,,
Global Times,China,Chinese,People's Daily Press,Central Committee of the Chinese Communist Party,globaltimesnews,https://twitter.com/globaltimesnews,"1,800,000",globaltimesnews,https://www.facebook.com/globaltimesnews,"76,000,000",,,,,,,,,,globaltimes,https://www.tiktok.com/@globaltimes,550.0
CGTN Global Watch,South Africa,English,China Media Group (CMG),Central Publicity Department,GlobalWatchCGTN,https://twitter.com/GlobalWatchCGTN,2878,GlobalWatchCGTN,https://www.facebook.com/GlobalWatchCGTN,55230,,,,,,,cgtnglobalwatch,https://www.youtube.com/@cgtnglobalwatch,4920,,,
"Jiangsu, China",South Africa,English,Jiangsu Provincial Department of Cultural & Tourism,Jiangsu Provincial People's Government,GoJiangsu,https://twitter.com/GoJiangsu,160600,,,,,,,,,,,,,,,
GT Opinion,South Africa,English,People's Daily Press,Central Committee of the Chinese Communist Party,GtOpinion,https://twitter.com/GtOpinion,3297,,,,,,,,,,,,,,,
Guancha Syndicate News,China,Chinese,"Shanghai Guanchazhe Information Technology Co.,Ltd",Shanghai Academy of Social Sciences (SASS),GuanchaNewMedia,https://twitter.com/GuanchaNewMedia,15800,,,,,,,,,,,,,,,
Guangming Daily,China,Chinese,Guangming Daily Press,Central Publicity Department,Guangming_Daily,https://twitter.com/Guangming_Daily,226200,guangmingdailyChina,https://www.facebook.com/guangmingdailyChina/,4817085,,,,,,,,,,guangmingdaily,https://www.tiktok.com/@guangmingdaily,29.0
Guan Xin,South Africa,English,China Media Group (CMG),Central Publicity Department,GuanXinTweets,https://twitter.com/GuanXinTweets,3335,GuanXinCGTN,https://www.facebook.com/GuanXinCGTN,"1,000,000",guanxin0411,https://www.instagram.com/guanxin0411/,684,,,,,,,,,
"Guilin, China",Guangxi,English,GLTVS,Guilin Municipal People's Government,Guilin__China,https://twitter.com/Guilin__China,51900,,,,,,,,,,,,,,,
Guyan Muchan,China,Chinese,Guangdong Provincial Cyberspace Administration,Office of the Cybersecurity and Information Technology Committee of the Guangdong Provincial Committee,guyanmuchan001,https://twitter.com/guyanmuchan001,49000,profile.php?id=100066894302590,https://www.facebook.com/profile.php?id=100066894302590,1000,,,,,,,uyanmuchan01,https://www.youtube.com/channel/UClc6ozVhg3gJW8mJx0DnOAQ,29300,,,
Gwadar Pro,Pakistan,Urdu,China Media Group (CMG),Central Publicity Department,Gwadar_Pro,https://twitter.com/Gwadar_Pro,53900,GwadarProNews,https://www.facebook.com/GwadarProNews?__cft__[0]=AZW8Og2Bxo3yLCGQXQdAXg2eJjCQN5uXz6-d0iA76a-S3y4zo8ERROiarfbRIvKv0ZfX7zNOaGtY8iSXZ45jgFoDWXZh4Mn3bQKSlxONZgV88QZP3M66CwYv6M6KJ38WEweqTWP7_PSJjvvl8MXqXj4sfNgMUA_JQDDSnIza_MzvABhG73QA8OoroWXj3iiJB8A&__tn__=-UC%2CP-R,61000,gwadarpro,https://www.instagram.com/gwadarpro/,159,,,,,,,,,
Gong Zhe,South Africa,English,China Media Group (CMG),Central Publicity Department,gz1988,https://twitter.com/gz1988,37,,,,,,,,,,,,,,,
Haiwai Net (People's Daily Overseas),USA,English,People's Daily Press,Central Committee of the Chinese Communist Party,haiwainet,https://twitter.com/haiwainet,1343,profile.php?id=100063702356538,https://www.facebook.com/profile.php?id=100063702356538,12000,,,,peoples_daily_overseas,https://www.threads.net/@peoples_daily_overseas,70.0,,,,haiwainet.uscenter,https://www.tiktok.com/@haiwainet.uscenter,24700.0
Haiwai Net (US Fusion Center),USA,English,People's Daily Press,Central Committee of the Chinese Communist Party,haiwaiwangUS,https://twitter.com/haiwaiwangUS,14600,haiwainetus,https://www.facebook.com/haiwainetus,1200,haiwainet.us,https://www.instagram.com/haiwainet.us/,21800,,,,,,,,,
Yu Yangtao (حكيم),Algeria,Arabic,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Hakimyu2,https://twitter.com/Hakimyu2,3348,,,,,,,,,,,,,,,
Henan TV,Henan,Chinese,Henan Broadcasting System,Henan Provincial Committee,Henan_TV,https://twitter.com/Henan_TV,2411,ChinaHenanTV,https://www.facebook.com/ChinaHenanTV/,1000,henantv,https://www.instagram.com/henantv/,547,,,,,,,henantv,https://www.tiktok.com/@henantv,8496.0
He Rulong,Iceland,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,HeRulong,https://twitter.com/HeRulong,6747,,,,,,,,,,,,,,,
He Weiwei,South Africa,English,China Media Group (CMG),Central Publicity Department,heweiwei_,https://twitter.com/heweiwei_,267,,,,,,,,,,,,,,,
Chen Peijie,Brazil,Chinese,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Hongchencuxian,https://twitter.com/Hongchencuxian,2821,,,,,,,,,,,,,,,
Wang Hao,South Africa,English,China Daily Press,Central Publicity Department,hongfenghuang,https://twitter.com/hongfenghuang,11300,,,,,,,,,,,,,,,
Zhang Hongtie,South Africa,English,Information Department of Foreign Ministry,Ministry of Foreign Affairs,HongtieZhang,https://twitter.com/HongtieZhang,335,,,,,,,,,,,,,,,
Hu Bin,São Tomé and Príncipe,Portuguese,Ministry of Foreign Affairs,Ministry of Foreign Affairs,HU_Bin_CHN,https://twitter.com/HU_Bin_CHN,2111,,,,,,,,,,,,,,,
Huang Jiyuan,South Africa,English,People's Daily Press,Central Committee of the Chinese Communist Party,huang_jiyuan,https://twitter.com/huang_jiyuan,573,,,,,,,,,,,,,,,
Global Times Net,China,Chinese,People's Daily Press,Central Committee of the Chinese Communist Party,Huanqiu_com,https://twitter.com/Huanqiu_com,71900,aroundglobal7426,https://www.facebook.com/aroundglobal7426,6900,,,,,,,,,,huanqiunews,https://www.tiktok.com/@huanqiunews,97800.0
Zhao Huanxin,South Africa,English,China Daily Press,Central Publicity Department,huanxinzhao,https://twitter.com/huanxinzhao,1747,,,,,,,,,,,,,,,
Gao Huijun,Indonesia,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,hui48298914,https://twitter.com/hui48298914,101,,,,,,,,,,,,,,,
Hunan Times,Hunan,English,Hunan Rednet New Media Group,Hunan Provincial Committee,HunanTimes,https://twitter.com/HunanTimes,1328,,,,,,,,,,,,,,,
Hu Xijin,South Africa,English,People's Daily Press,Central Committee of the Chinese Communist Party,HuXijin_GT,https://twitter.com/HuXijin_GT,548800,HuXijinGT,https://www.facebook.com/HuXijinGT/,6400,,,,,,,globaltimeshuxijin3816,https://www.youtube.com/@globaltimeshuxijin3816,81000,,,
Charming Changzhou,Jiangsu,English,Jiangsu Provincial Department of Cultural & Tourism,Jiangsu Provincial People's Government,iChangzhou,https://twitter.com/iChangzhou,19100,,,,,,,,,,,,,,,
iChongqing,Chongqing,English,Chongqing International Communication Center,Chongqing Municipal Committee,iChongqing_CIMC,https://twitter.com/iChongqing_CIMC,189300,iChongqing,https://www.facebook.com/iChongqing,7000000,iChongqing.info,https://www.instagram.com/iChongqing.info/,11500,ichongqing.info,https://www.threads.net/@ichongqing.info,380.0,iChongqing,https://www.youtube.com/@iChongqing,26900,ichongqing.info,https://www.tiktok.com/@ichongqing.info,632.0
Discover China,South Africa,English,China International Communications Group (CICG),Central Publicity Department,idiscoverchina,https://twitter.com/idiscoverchina,125,iDiscoverChina,https://www.facebook.com/iDiscoverChina,"12,000,000",idiscoverchina,https://www.instagram.com/idiscoverchina/,69500,idiscoverchina,https://www.threads.net/@idiscoverchina,2313.0,,,,discoveringchina,https://www.tiktok.com/@discoveringchina,76.0
"Guizhou, China",South Africa,English,China Daily Press,Guizhou Provincial People's Government,iloveguizhou,https://twitter.com/iloveguizhou,49400,,,,,,,,,,,,,,,
Chinese Embassy in Lithuania,Lithuania,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,in_embassy,https://twitter.com/in_embassy,17100,,,,,,,,,,,,,,,
Zhang Qitong (QiTong Channel / Цитун Чжан),Russia,Russian,China Media Group (CMG),Central Publicity Department,IN_Studio2020,https://twitter.com/IN_Studio2020,90,studioqitong,https://www.facebook.com/QiTong-Channel-109039144271590,347000,imqitong,https://www.instagram.com/imqitong/,708,,,,StudioQitong,https://www.youtube.com/channel/UChsAYkFPkqSFH1t--JIEzBw,685,,,
In Qingdao (Meet Qingdao),South Africa,English,Qingdao MOFCOM,Qingdao Municipal People's Government,InQingdao,https://twitter.com/InQingdao,190100,InQingdao,https://www.facebook.com/InQingdao,400000,,,,,,,,,,meetqingdao_,https://www.tiktok.com/@meetqingdao_,183700.0
Insight Ningbo,Zhejiang,English,China Daily Press,Ningbo Municipal People's Government,InsightNingbo,https://twitter.com/InsightNingbo,52900,,,,,,,,,,,,,,,
iPanda,South Africa,English,China Media Group (CMG),Central Publicity Department,ipandacom,https://twitter.com/ipandacom,159500,ipandacom,https://www.facebook.com/ipandacom,"24,000,000",ipandachannel,https://www.instagram.com/ipandachannel/,"2,400,000",ipandachannel,https://www.threads.net/@ipandachannel,121000.0,iPandaChannel,https://www.youtube.com/channel/UCtEgLf0_j1vJLz0aNEdO2SQ,"2,180,000",ipandaofficial,https://www.tiktok.com/@ipandaofficial,2500000.0
Insight Xiangshan,South Africa,English,Zhejiang Media Group (ZMG),Zhejiang Provincial People's Government,IXiangshan,https://twitter.com/IXiangshan,29500,profile.php?id=100078441630290&locale=ms_MY&paipv=0&eav=AfbsFttSNbGlUJU5nqbp9Eewz5Xx3DHdyGyqM18zEeFxtQ7u7BNieqHN3up5ISQrDio,https://www.facebook.com/profile.php?id=100078441630290&locale=ms_MY&paipv=0&eav=AfbsFttSNbGlUJU5nqbp9Eewz5Xx3DHdyGyqM18zEeFxtQ7u7BNieqHN3up5ISQrDio,765,,,,,,,insightxiangshan2141,https://www.youtube.com/channel/UC5vA6xRstJeUx20Z8sLZgPA,273,,,
"Zhejiang, China",South Africa,English,China Daily Press,Zhejiang Provincial People's Government,izhejiang,https://twitter.com/izhejiang,88500,,,,,,,,,,,,,,,
Chinese Consulate General in Jeju-Do,South Korea,Korean,Ministry of Foreign Affairs,Ministry of Foreign Affairs,jejuZLG,https://twitter.com/jejuZLG,2279,,,,,,,,,,,,,,,
Zang Shijie (Jessica Zang),New Zealand,English,China Media Group (CMG),Central Publicity Department,JessicaZ1018,https://twitter.com/JessicaZ1018,3083,JessicaZanginChina,https://www.facebook.com/JessicaZanginChina,1200000,jessica_zang1018,https://www.instagram.com/jessica_zang1018/,8413,jessica_zang1018,https://www.threads.net/@jessica_zang1018,173.0,jessicastreettv1461,https://www.youtube.com/@jessicastreettv1461,967,themomentj_1018,https://www.tiktok.com/@themomentj_1018,16800.0
Jiang Jiang,New Zealand,English,Xinhua News Agency,State Council,JiangJiang43,https://twitter.com/JiangJiang43,2759,,,,,,,,,,,,,,,
